Word	Count
unblinking	1
blue	1
bullets	3
cuts	7
...fuck	3
sweep	1
recalls	1
panel	2
free	4
wedged	2
gap--	1
pink	2
case	2
text	3
"please	1
hurry..."	1
pockets	1
scanning	1
noticing	3
gouges	1
concrete	4
filling	4
spots	2
cyborg	6
finger	5
tech	1
severed	2
knuckle	1
wires	2
trailing	1
sirens	3
quickly	5
vending	1
machines	4
barrels	1
screeches	1
structure	5
contains	1
bedroom--	1
hello	3
--what	2
rounds	2
corner	6
goggles	1
approaching	7
"garden"	1
bunch	2
beets	1
climb	1
wrong	5
begin	1
sigh	2
main	4
building	9
25	1
--i'm	2
borscht	1
dressed	2
lunch	2
pauses	6
child's	1
backpack	15
unzips	2
comic	20
books	7
plastic	3
horse	8
trinkets	1
girl's	2
...who	1
horizon	3
pierce's	7
coming	13
glorified	1
truffle	1
pig	2
clairvoyant	1
quiet	8
grounds	1
dust	2
cloud	3
windbreaker	1
property	3
asshole	6
private	1
believe	3
belongs	1
multinational	1
company	2
based	1
shanghai	1
26	1
keeping	1
i'd	4
meet	11
hsa	1
classifies	1
weapon	6
mass	1
destruction	1
`damned	1
shame	1
east	1
convinced	1
interested	1
special	4
coated	1
j-tek	1
skin	6
calming	1
magnesium	1
without	3
feel	4
calmer	1
then--	5
went	2
"the	1
woman"	1
such	3
saw	6
hurts	2
shoot	3
poor	3
thing	10
27	1
course	5
wish	2
step	7
closer	3
feels	3
enhanced--	1
nowhere	2
boomerang	1
lead	5
pipe	4
stunned	1
out-building	1
wings	1
wing	1
usual	2
laura	257
28	1
motions	1
bewildered	1
waistband	2
lands	2
tattoo	1
ex-military	1
bounty	1
hunter	1
don	1
worse	2
reads	3
dump	1
juarez	2
vultures	1
wakes	3
we'll	4
pick	11
duffle	1
shoving	1
supplies	4
sits	16
"laura"	1
ravenously	1
eats	5
bowl	2
gently	6
29	1
painful	1
laura's	19
strap	1
shoves	5
back--	2
mother	9
toy	3
book	5
winces	1
met	1
talks	2
them--	1
isn't	1
attack	4
understand	6
30	1
gift	2
eating	3
throwing	2
interrupted	2
nightly	1
bolts	1
alright	8
choo	2
monitor	3
never	10
dash	2
drags	2
unconscious	3
jeep's	1
soft	2
terrain	2
lots	1
grinning	1
fucked	3
packed	1
grabbed	2
same	12
silt	1
rising	3
another--	1
31	1
--it's	1
armed	6
hang	2
trucks	6
type	1
board	5
mercenaries	2
tactical	2
gear	2
note	1
riding	2
federales	9
reavers	36
outclass	1
weapons	11
armor	1
skill	1
many	6
weaponized	1
appendages	1
limbs	5
hold	9
wheelchair	3
points	5
order:	1
afraid	1
he'll	1
rapidly	1
gravel	1
rocks	3
...bloody	1
smash	2
throws	9
duffel	1
upon	5
32	1
problem	1
belt	2
hurriedly	1
straps	1
surreptitiously	3
hypodermic	3
jumps	4
gas--	1
opposite	2
stomps	2
brakes	3
slides	5
dusted	1
earlier	1
misadventure	1
jumping	1
federale	5
jeeps	3
commander	6
decorated	3
mid-level	1
brass	1
orders	3
positions	1
surrounding	2
barks	2
police	3
sketch	1
este	3
es	1
mutante	2
capturar	1
o	1
matar	1
refills	1
methodically	1
spoon	3
stand-off	1
show	6
fuzzier	1
kicking	3
33	1
mustn't	1
forget	2
...logan	1
driver's	2
ah	1
xavier	2
most	7
octogenarian	1
america--	1
knocking	3
where's	4
excuse	1
nonagenarian	1
actually	3
ought	1
ask	4
seems	5
friendly	2
smirks	1
anger	2
left	8
hole	1
going	14
loses	1
knees	4
turns--	2
snikt--	2
separates	1
reaver	25
extra	1
barbecue	1
tongs	1
34	1
boots	4
ground	18
pummeled	1
overwhelmed	3
pinned	5
breaks	6
heart	2
rip	1
fuck-stick	1
bike	1
steel	3
restraining	3
collar	1
shouts	2
escort	2
charge	1
mohawk	2
dispatches	1
adjacent	1
advancing	1
toward--	2
oblivious	2
accidentally	1
screams	10
men's	1
everyone	7
creeaaak	1
quarry	2
that-a-girl	1
rolls	4
at--	6
...laura	1
laura--	1
sides	2
stay	10
cyborg-legged	1
containment	2
tomar	1
alive	4
attention	5
limping	6
meet--	1
mutual	1
recognition	1
36	1
...my	2
lord	4
becomes	4
whirling	1
dervish	1
death	1
sliced	1
attackers	1
topiary	1
fire	10
evades	1
created	2
designed	1
trained	2
only:	1
killing	8
virtuoso	1
dispatched	1
hides	1
supports	3
hunt	2
among	7
picking	1
blades	3
muscle	2
bound	1
acrobatic	1
nuts	1
manages	2
pretty	2
harpoon	3
retracts	3
cable	1
pins	2
put	7
restraints	6
restrain	1
drag	1
foot	6
emerge	3
dragging	5
chalk	1
scissor-kick	1
stabs	1
thigh	1
throat	6
sticking	1
slack-jawed	1
and--	4
windshield	5
hostiles	1
...as	1
grimly	1
engine	4
37	1
gaining	3
accelerates	1
hood	7
punches	3
gunfire	5
seemingly	3
gunfire:	1
factly	1
slug	1
spits	3
lee	1
marvin	1
barrage	1
bullets--	1
wider	1
spin	1
pursuit	1
disgusted	1
leads	4
blocked	1
armada	1
straight	1
chainlink	1
fence--	1
prepare	1
classic	3
action	2
bends	1
grinds	1
pathetic	1
halt	1
tangled	1
mesh	1
traction	1
motorcycles	1
massive	1
purchase	1
backing	1
ripping	1
section	2
chain	3
link	3
posts	1
"tail"	1
38	1
bikes	1
riders	1
tumbles	2
tail	1
along	8
drawing	3
ducks	1
losing	1
peels	1
flashing	2
train-warning	1
squarely	1
steers	2
into--	1
hulking	3
arriving	1
faster	4
cranking	1
clipping	2
spinning	2
caught	3
squeezed	1
between	5
sparks	1
fly	2
stuck	2
until	9
racing	3
120	2
mph	1
39	1
darting	1
rearview	3
peeled	1
fixed	3
acknowledging	1
existence	1
remind	3
glare	1
equally	2
flares	1
tensely	1
mangled	1
"soldiers"	1
fellas	1
tracker	2
opened	3
injured	1
iv	5
rips	1
wakey	2
pale	4
40	2
kid	9
tracked	2
gilled	1
fishy	1
motherfuck	1
halfway	2
`cross	1
atlantic	1
underwater	1
sub	1
anyway	3
trackin'	1
sorry	6
strikes	1
'i'm	1
mistaken	1
team	3
helping	3
mutes	1
changed	2
'you	1
religion	1
track	1
blacked	1
peel	1
tar	2
you'd	1
theory	1
releasing	1
shard	1
bright	3
cries	3
beware	3
bet	2
every	3
41	1
please--	1
force	4
mutant's	1
burns	1
let's	4
worst	1
worth	1
natural	3
fuck-up	1
r	1
d	1
liability	1
patents	2
running	7
hurting	1
haul	2
crying	6
apartment	1
healthier	1
grim	2
ten	4
worked	2
corridors	1
end	5
facility	1
reflections	1
nurse's	1
uniform	1
recording	2
surreptitious	2
video	10
owned	1
american	1
shaky	2
shot	11
letterhead	1
memo	1
illegal	1
canada--	1
42	1
came	3
enclosures	1
tattered	1
animals	3
children	32
snow	1
creatures	1
mats	1
tile	1
floors	2
exposed	2
drains	1
hoses	1
guards	1
recognizable	1
juxtaposed	1
cheerful	1
musak	2
place	18
children's	1
kennel	1
birth	1
certificates	1
names	3
ones	3
given	1
bellies	1
girls	2
grainy	1
photos	2
sprayed	2
birthing	1
--girls	1
images	4
test	2
tubes	2
vials	1
liquids	2
electron	1
microscopes	1
fathers	1
semillas	1
genetica	1
seeds	1
birthday	1
party	1
ward	1
cake	2
staff	7
haired	8
lab	5
shot--	2
recorded	1
chastises	1
maria	6
dress	1
halloween	1
baby	3
kiss	1
boo	1
boos	1
study	2
think	11
43	1
copyrights	1
comprende	2
kids	14
fighting	1
padded	1
technician	1
beating	2
exhibiting	1
tremendous	1
strength	2
member	2
break	3
alarm	4
sounds	4
teasers	1
pharmaceutical	1
explores	1
range	2
pads	2
hacked	1
dummies	2
automatic	3
brutal	2
accuracy	1
ops	1
combat	1
skills	1
bodies	6
pans	2
floor	19
expressionless	1
lie	3
yellowed	1
newspaper	1
articles	1
xmen	4
learned	2
english	2
reveal	1
are--	1
rapt	2
propped	1
44	1
soldiers	8
x	5
babies	1
mutantes	1
muerta	1
crevice	1
battery's	1
plug	1
far	6
woman's	1
sitting	6
solemnly	2
"bucking	1
bronco"	1
rides	3
repeating	1
fanfare	1
genetic	1
code	1
stopped	1
happens	3
bangs	1
pee	1
jam	1
bucking	2
bronco	2
machine's	1
coin	1
slot	3
wrist	2
quarter	4
welcome	3
half	3
handicapped	1
stall	1
shuffle	1
sake	3
aisle	1
colorful	1
products	2
pringles	3
46	1
display	3
mag	1
variations	1
"energy	1
drinks."	1
clerk	6
snacks	1
sunglass	1
rack	2
munching	1
pair	1
shades	3
herself	2
girlie	1
blocks	2
daddy	2
enough--	1
swipes	1
nose	2
terrifyingly	1
swift	1
straddling	1
raised--	1
holy	1
clerk--	1
--then	1
handful	1
cigars	1
charger	2
stealing	1
security	3
starry	1
sky	3
plains	1
flat	1
oklahoma	4
47	1
darkness	1
hypes	1
gambling	3
shows	3
50	3
miles	3
beep	1
plugged	1
"staff	1
member"	1
gripped	2
glowing	5
"leo	1
basta	1
basta!"	1
leans	3
became	2
difficult	1
bumpy	1
expertly	1
target	1
indoor	1
instructor	1
chased	1
staircase	2
rooftop	1
whoops	1
breathes	3
panicked	3
ledge	1
taught	1
kill--	1
remove	1
hearts	2
hissing	1
spitting	3
vibrating	2
objects	4
flying	2
watch	5
weep	1
controlled	2
trickle	1
drain	1
tilt	1
smock	1
tiled	1
heal	2
camera/phone	1
dutched	2
comforts	1
saying	5
"what	1
baby?"	1
shoulder	11
48	1
soldier	4
cannot	2
lens	1
glimpse	1
temperamental	1
car--	1
windowless	1
x-23	2
stolen	2
building--	1
tanks	1
containing	2
adult	1
human	3
organs	1
submerged	1
collagen	1
forms:	1
arms	5
feet--	1
harvested	1
yesterday	2
confers	1
technicians	1
destroy	1
cancer	1
program	3
failed	1
female	1
shred	1
dragged	2
started	1
dogs	2
this"	1
save	5
eden	8
escape	3
sounding	1
exhortations	1
49	1
shown	1
barely	3
able	2
survived	1
separated	1
reacts	2
love	4
may	1
beg	1
safety	1
ends	3
adjusts	2
doll	1
awakes	3
weight	2
leatherette	1
soundly	1
face--	1
spectacle	1
modern	1
dancing	1
thematic	1
facades	1
throb	1
fireworks	1
thumping	1
awake	5
panic	1
surroundings	1
idea	2
nor	2
casino	4
parking	2
area	4
...is	1
ditch	2
valet	2
eagerly	2
thrashed	1
condition	1
frazzled	1
passengers	1
dazzled	1
throbbing	2
sexy	2
weary	2
electronic	2
key	1
threesome	1
slots	1
tables	1
operating	1
noise	2
activity	1
rings	1
wins	1
jackpot	1
elevator	3
clothing	3
store	2
male	1
mannequin	3
handsome	1
western	2
wear	1
shapely	1
cowgirl	1
unicorn	2
tee/skirt	1
studded	1
denim	1
bing	2
enter	2
shopping	1
lap	2
tag	2
attached	2
press	1
swats	2
meanwhile	3
digs	1
offers	1
baseball	1
tissue	2
falling	1
51	1
buttons	1
appointed	1
suite	3
remains	2
service	3
breakfast	2
boxes	2
scattered	1
robe	1
finish	3
donning	1
outfit	1
gunshots	2
shootout	1
50's	1
technicolor	1
elisha	2
cook	2
jr	2
gunned	1
mud	1
palance	1
film	2
hundred	5
esoldo	1
dewsbury	1
age	2
onscreen	1
cemetery	1
scene	1
homesteaders	1
sing	1
hymnal	1
lower	3
mini	3
bar	5
stacked	1
exhaustion	1
battle	4
